"","REGION","PRIMARY_SAMPLE_UNIT","STATION_NR","YEAR","MONTH","DAY","HABITAT_CD","STRAT","RUGOSITY_CD","WTD_RUG","LAT_DEGREES","LON_DEGREES","MAPGRID_NR","SUB_REGION_NAME","SUB_REGION_NR","ZONE_NAME","ZONE_NR","MPA_NAME","MPA_NR","ADMIN","PROT","DEPTH_STRAT","MIN_DEPTH","MAX_DEPTH","METERS_COMPLETED","SPECIES_CD","SPECIES_NAME","N","JUV","MAX_DIAMETER","PERP_DIAMETER","HEIGHT","OLD_MORT","RECENT_MORT","BLEACH_CONDITION","DISEASE","SURVEY","SurveyCode","MilSortCode","BleachingPresAbs"
"44","FLK","5271499",1,2005,NA,NA,"CONT_LR","FMLR",NA,NA,25.30397,-80.1665,1946980,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,2.50850392,2.785871911,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5271499","2005-NA-NA-5271499-1",1
"45","FLK","5301503",1,2005,NA,NA,"CONT_LR","FMLR",NA,NA,25.30903,-80.15915,1948571,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,3.43814389,3.43814389,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5301503","2005-NA-NA-5301503-1",1
"46","FLK","5311474",1,2005,NA,NA,"ISOL_MR","MCPR",NA,NA,25.3114,-80.21718,1949032,"Biscayne",12,"Mid Channel",2,"Unprotected",0,NA,0,NA,1.392935955,1.673351946,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5311474","2005-NA-NA-5311474-1",0
"47","FLK","5361505",1,2005,NA,NA,"SPGR_LR","FMLR",NA,NA,25.32057,-80.15485,1951915,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,3.157727899,3.343655893,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5361505","2005-NA-NA-5361505-1",1
"48","FLK","5361506",1,2005,NA,NA,"CONT_LR","FDLR",NA,NA,25.32067,-80.15297,1951917,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,4.831079845,5.574791822,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5361506","2005-NA-NA-5361506-1",1
"49","FLK","5431492",1,2005,NA,NA,"CONT_LR","FSLR",NA,NA,25.33212,-80.18148,1954890,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,1.021079967,1.301495958,10,"ACR CERV","Acropora cervicornis",1,0,35,25,5,95,0,"P","A","SCREAM","2005-NA-NA-5431492","2005-NA-NA-5431492-1",1
"50","FLK","5501501",1,2005,NA,NA,"CONT_LR","FSLR",NA,NA,25.34505,-80.16328,1958526,"Biscayne",12,"Forereef",4,"Unprotected",0,NA,0,NA,1.115567964,1.578863949,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5501501","2005-NA-NA-5501501-1",1
"51","FLK","5521492",1,2005,NA,NA,"ISOL_MR","MCPR",NA,NA,25.34872,-80.18095,1959455,"Biscayne",12,"Mid Channel",2,"BISC_SRZ",28,NA,1,NA,0.835151973,1.207007961,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5521492","2005-NA-NA-5521492-1",1
"52","FLK","5531500",1,2005,NA,NA,"ISOL_MR","MCPR",NA,NA,25.35078,-80.16533,1959940,"Biscayne",12,"Mid Channel",2,"BISC_SRZ",28,NA,1,NA,0,0,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5531500","2005-NA-NA-5531500-1",1
"53","FLK","5591506",1,2005,NA,NA,"CONT_LR","FMLR",NA,NA,25.36152,-80.15407,1962728,"Biscayne",12,"Forereef",4,"BISC_SRZ",28,NA,1,NA,1.764791944,1.859279941,10,"ACR CERV","Acropora cervicornis",0,0,NA,NA,NA,NA,NA,NA,NA,"SCREAM","2005-NA-NA-5591506","2005-NA-NA-5591506-1",1
